Minamata  (1280,3519)  (1258,3626)  (1328,3626)  (1188,3626)  (1188,3696)  (1258,3696)  (1328,3696)  (1188,3766)  (1258,3766)  (1328,3766)  (1190,3768)  | overflowToLeft=false
Okayama  (4138,3047)  (4106,3155)  (4176,3155)  (4036,3155)  (4036,3225)  (4106,3225)  (4176,3225)  (4036,3295)  (4106,3295)  (4176,3295)  (4038,3297)     | overflowToLeft=false 
Matsue  (4070,1468)  (4038,1574)  (4108,1574)  (3968,1574)  (3968,1644)  (4038,1644)  (4108,1644)  (3968,1714)  (4038,1714)  (4108,1714)  (3970,1716)  | overflowToLeft=false 
Mito  (9514,3381)  (9480,3488)  (9550,3488)   (9410,3488)  (9410,3558)  (9480,3558)  (9550,3558)  (9410,3628)  (9480,3628)  (9550,3628)  (9412,3630)   | overflowToLeft=false 
Edo  (8769,4077)  (8736,4184)  (8806,4184)  (8666,4184)  (8666,4254)  (8736,4254)  (8806,4254)  (8666,4324)  (8736,4324)  (8806,4324)  (8668,4326)| overflowToLeft=false 
Shizuoka  (7759,4331)  (7735,4440)  (7805,4440)  (7665,4440)  (7665,4510)  (7735,4510)  (7805,4510)  (7665,4580)  (7735,4580)  (7805,4580)  (7667,4582) | overflowToLeft=false 
Tateyama  (8623,5054)  (8589,5160)  (8659,5160)  (8519,5160)  (8519,5230)  (8589,5230)  (8659,5230)  (8519,5300)  (8589,5300)  (8659,5300)   (8521,5302) | overflowToLeft=false 
Odaki  (9482,4471)  (9450,4580)  (9520,4580)  (9380,4580)  (9380,4650)  (9450,4650)  (9520,4650)  (9380,4720)  (9450,4720)  (9520,4720)  (9382,4722) | overflowToLeft=false 
Iwamura (7337,3147)  (7305,3255)  (7375,3255)  (7235,3255)  (7235,3325)  (7305,3325)  (7375,3325)  (7235,3395)  (7305,3395)  (7375,3395)  (7237,3397)   | overflowToLeft=false 
Gifu  (6992,3689)  (6960,3796)  (7030,3796)  (6890,3796)  (6890,3866)  (6960,3866)  (7030,3866)   (6890,3936)  (6960,3936)  (7030,3936)    (6892,3938)  | overflowToLeft=false 
Nagoya  (6754,4487)  (6722,4595)  (6792,4595)  (6652,4595)  (6652,4665)  (6722,4665)  (6792,4665)  (6652,4735)  (6722,4735)  (6792,4735)  (6654,4737) | overflowToLeft=false 
Kiyosu  (6456,4256)  (6423,4364)  (6493,4364)  (6353,4364)  (6353,4434)  (6423,4434)  (6493,4434)  (6353,4504)  (6423,4504)  (6493,4504)   (6355,4506) | overflowToLeft=false 
Ryukyu Shoto  (376,5701)  (1316,6127)  (358,5810)  (428,5810)  (288,5810)  (288,5880)  (358,5880)  (428,5880)   (288,5950)  (358,5950)  (428,5950)  (498,5810)  (498,5880)  (498,5950)  (218,5810)  (218,5880)  (218,5950)  (148,5810)  (148,5880)  (148,5950)  (1508,5952) | overflowToLeft=false 
Tottori (4946,1483)  (4913,1591)  (4983,1591)  (4843,1591)  (4843,1661)  (4913,1661)  (4983,1661)   (4843,1731)  (4913,1731)  (4983,1731)   (4845,1733)  | overflowToLeft=false 
Miyakonoyo  (1879,4503)  (1846,4609)  (1916,4609)  (1776,4609)  (1776,4679)  (1846,4679)  (1916,4679)  (1776,4749)  (1846,4749)  (1918,4751)  | overflowToLeft=false 
Azuchi (6391,2948)  (6360,3056)  (6430,3056)  (6290,3056)  (6290,3126)  (6360,3126)  (6430,3126)  (6290,3196)  (6360,3196)  (6430,3196)  (6292,3198)   | overflowToLeft=false 
Nara (5853,3570)  (6718,6124)  (5820,3677)  (5890,3677)  (5750,3677)  (5750,3747)  (5820,3747)  (5890,3747)  (5750,3817)  (5820,3817)  (5890,3817)  (5750,3817)  (5822,3819)   | overflowToLeft=false
Takeyama (7123,2363)  (7090,2470)  (7160,2470)  (7020,2470)  (7020,2540)  (7090,2540)  (7160,2540)  (7020,2610)  (7090,2610)  (7160,2610)  (7022,2612)  | overflowToLeft=false 
Toyama (7388,1897)  (7355,2004)  (7425,2004)  (7285,2004)  (7285,2074)  (7355,2074)  (7425,2074)  (7285,2144)  (7355,2144)  (7425,2144)  (7287,2146) | overflowToLeft=false 
Kanazawa (6804,1694)  (6780,1802)  (6850,1802)  (6710,1802)  (6710,1872)  (6780,1872)  (6850,1872)  (6710,1942)  (6780,1942)  (6850,1942)  (6712,1944) | overflowToLeft=false 
Obama (5931,1992)  (2008,6124)  (5898,2098)  (5968,2098)  (5828,2098)  (5828,2168)  (5898,2168)  (5968,2168)  (5828,2238)  (5898,2238)  (5968,2238)  (5830,2240)  | overflowToLeft=false 
Miyazu (5454,1894)  (5422,2000)  (5492,2000)  (5352,2000)  (5352,2070)  (5422,2070)  (5492,2070)  (5352,2140)  (5422,2140)  (5492,2140)  (5354,2142) | overflowToLeft=false 
Gassantoda (4033,1990)  (4000,2097)  (4070,2097)  (3930,2097)  (3930,2167)  (4000,2167)  (4070,2167)  (3930,2237)  (4000,2237)  (4070,2237)  (3932,2239)  | overflowToLeft=false
Yoshida (3563,2080)  (3530,2185)  (3600,2185)  (3460,2185)  (3460,2255)  (3530,2255)  (3600,2255)  (3460,2325)  (3530,2325)  (3600,2325)  (3462,2327)  | overflowToLeft=false
Odawara  (8207,4594)  (8175,4700)  (8245,4700)  (8105,4700)  (8105,4770)  (8175,4770)  (8245,4770)  (8105,4840)  (8175,4840)  (8245,4840)  (8107,4842) | overflowToLeft=false 
Akita  (9315,1277)  (9282,1386)  (9352,1386)  (9212,1386)  (9212,1456)  (9282,1456)  (9352,1456)  (9212,1526)  (9282,1526)  (9352,1526)  (9214,1528)   | overflowToLeft=false 
Kofu  (8284,3411)  (8304,3519)  (8374,3519)  (8234,3519)  (8234,3589)  (8304,3589)  (8374,3589)  (8234,3659)  (8304,3659)  (8374,3659)  (8236,3661) | overflowToLeft=false 
Niigata  (8474,1717)  (8450,1824)  (8520,1824)  (8380,1824)  (8380,1894)  (8450,1894)  (8520,1894)  (8380,1964)  (8450,1964)  (8520,1964)  (8382,1966) | overflowToLeft=false 
Kasugayama  (7988,1925)  (7954,2032)  (8024,2032)  (7884,2032)  (7884,2102)  (7954,2102)  (8024,2102)  (7884,2172)  (7954,2172)  (8024,2172)  (7886,2174)  | overflowToLeft=false 
Nagano  (8345,2586) (6891,6126) (8312,2693)  (8382,2693)  (8242,2693)  (8242,2763)  (8312,2763)  (8382,2763)  (8242,2833)  (8312,2833)  (8382,2833)   (8244,2835) | overflowToLeft=false 
Awa Kannou  (8886,4926)  (8775,5034)  (8845,5034)  (8705,5034)  (8915,5034)  (8705,5104)  (8775,5104)  (8845,5104)  (8915,5104)  (8707,5106)   | overflowToLeft=false
Imabari (3451,3367) (3419,3472) (3489,3472) (3349,3472) (3349,3542) (3419,3542) (3489,3542) (3349,3612) (3419,3612) (3489,3612) (3351,3614)  | overflowToLeft=false
Tsugaru Strait  (808,6127)  (9890,710)  (9960,710)  (9820,710)  (9820,780)  (9890,780)  (9960,780)  (10010,710)  (10010,780)  (10080,710)  (10080,780)  (10150,710)  (10150,780)  (9750,710)  (9750,780)  (9752,782)  | overflowToLeft=false
Hoki-Mimasake pass  (4310,2140)  (4291,2264)  (4291,2334)  (4221,2264)  (4221,2334)  (4361,2264)  (4361,2334)  | overflowToLeft=false
South Mino  (6993,3396)  (6980,3510)  (7050,3510)  (6910,3510)  (6910,3580)  (6980,3580)  (7050,3580)  (6840,3510)  (6840,3580)  (7120,3510)  (7120,3580)  (7170,3510)  (7170,3580)  (6842,3582)  | overflowToLeft=false
Awashimura Bay  (8990,1083)  (9060,1083)  (8920,1083)  (8920,1153)  (8990,1153)  (9060,1153)  (8920,1223)  (8990,1223)  (9060,1223)  (8920,1293)  (8990,1293)  (9060,1293)  (8920,1363)  (8990,1363)  (9060,1363)  (8922,1365)  | overflowToLeft=false
Wakasa Bay  (5590,1715)  (5660,1715)  (5520,1715)  (5520,1785)  (5590,1785)  (5660,1785) (5590,1855) (5660,1855)  (5730,1715)  (5730,1785)  (5520,1715)  (5520,1785)  (5800,1715)  (5800,1785)  (5450,1715)  (5450,1785)  (5452,1787) | overflowToLeft=false
Gyeongsang  (1063,483)  (1050,590)  (1120,590)  (980,590)  (980,660)  (1050,660)  (1120,660)  (980,730)  (1050,730)  (1120,730)  (910,590)  (910,660)  (910,730)  (910,800)  (980,800)  (1050,800)  (912,802)  | overflowToLeft=false
North Shinano  (7972,2665)  (8638,6122) (7971,2773)  (8041,2773)  (7901,2773)  (7901,2843)  (7971,2843)  (8041,2843)  (7901,2913)  (7971,2913)  (8041,2913)  (7901,2983)  (7971,2983)  (8041,2983)  (7831,2773)  (7831,2843)  (7831,2913)  (7831,2983)  (7833,2985)     | overflowToLeft=false
Iwami-Aki pass  (3275,1951)  (3259,2070)  (3259,2140)  (3189,2070)  (3189,2140)  (3329,2070)  (3329,2140)  (3191,2142)  | overflowToLeft=false
Suruga-Sagami pass  (8256,3961)  (8082,3992)  (8152,3992)  (8082,3922)  (8152,3922)  (8082,4062)  (8152,4062)  | overflowToLeft=false
Kai-Suruga pass  (7949,3460)  (7931,3577)  (7931,3647)  (7861,3577)  (7861,3647)  (8001,3577)  (8001,3647)  | overflowToLeft=false
Gangwon  (974,139)  (7417,6124)  (964,244)  (1034,314)  (894,244)  (894,314)  (964,244)  (1034,314)  (824,244)  (824,314)  (1104,244)  (1104,314)  (826,316)  | overflowToLeft=false
Shimosa  (9085,3743)  (7850,6125)  (9070,3853)  (9140,3853)  (9000,3853)  (9000,3923)  (9070,3923)  (9140,3923) (9000,3993)  (9070,3993)  (9140,3993)   (9000,4063)  (9070,4063)  (9140,4063)  (9000,4133)  (9070,4163)  (9140,4163)  (9002,4135)        | overflowToLeft=false
South Dewa-Central Mutsu pass  (9552,1786)  (9618,1825)  (9688,1825)  (9618,1755)  (9688,1755)  (9618,1895)  (9688,1895)  | overflowToLeft=false
Seto Inland Sea  (3775,3475) (3845,3475) (3705,3475) (3705,3545)  (3775,3545) (3845,3545)  (3915,3475)  (3915,3545)  (3985,3475)  (3985,3545)  (3635,3475)  (3635,3545)  (3637,3547) | overflowToLeft=false
Tsushima  (1896,838)  (1886,946)  (1956,946)  (1816,946)  (1816,1016)  (1886,1016)  (1956,1016)  (1886,1086)  (1956,1086)  (2026,1086)  (1956,1156)  (2026,1156)   (2096,1156)   (2026,1226)   (2096,1226)  (2166,1226)    (2096,1296)  (2166,1296)  (2236,1296)  (2238,1298)   | overflowToLeft=false
Suo  (2846,2111)  (2617,6126) (2832,2221)  (2902,2221)  (2762,2221)  (2762,2291)  (2832,2291)  (2902,2291)  (2762,2361)  (2832,2361)  (2902,2361)  (2972,2221)  (2972,2291)  (2972,2361)  (2832,2431)  (2902,2431)  (2972,2431)  (2692,2221)  (2622,2221)  (2624,2223)     | overflowToLeft=false
Ezochi-Iburi pass  (10010,220)  (10073,263)  (10143,263)  (10073,193)  (10143,193)  (10073,333)  (10143,333)  | overflowToLeft=false
Noto  (7267,1435)  (5931,6124)  (7255,1541)  (7325,1541)  (7185,1541)  (7185,1611)  (7255,1611)  (7325,1611)  (7185,1681)  (7255,1681)  (7325,1681)  (7395,1541)  (7395,1611)  (7395,1681)   (7115,1541)  (7115,1611)  (7115,1681)  (7115,1751)  (7185,1751)   (7115,1821)  (7185,1821)   (7117,1823)| overflowToLeft=false
Oki Bay  (4272,800)  (4342,800)  (4202,800)  (4202,870)  (4272,870)  (4342,870)  (4202,940)  (4272,940)  (4342,940)  (4202,1010)  (4272,1010)  (4342,1010)  (4202,1080)  (4272,1080)  (4342,1080)  (4204,1082)  (4132,800)   (4132,870)    (4132,940)    (4132,1010)    (4132,1080)    (4134,1082)     | overflowToLeft=false
Bitchu  (4063,2756)  (4691,6122)  (4040,2863)  (4110,2863)  (3970,2863)  (3970,2933)  (4040,2933)  (4110,2933)  (3970,3003)  (4040,3003)  (4180,2863)  (4180,2933)  (3900,2863)  (3900,2933)  (3900,4003)  (3902,4005)  | overflowToLeft=false
East Tosa  (3543,4169)  (3915,6125)  (3528,4278)  (3598,4278)  (3458,4278)  (3458,4348)  (3528,4348)  (3598,4348)  (3458,4418)  (3528,4418)  (3598,4418)  (3528,4488) (3598,4488)  (3598,4538)  (3668,4538)  (3598,4608)  (3668,4608) (3608,4610) | overflowToLeft=false
Shimane Coast  (2950,1420)  (3020,1420)  (2880,1420)  (2880,1490)  (2950,1490)  (3020,1490)   (3090,1420)   (3090,1490)   (2810,1420)   (2810,1490)   (3160,1420)   (3160,1490)     (2740,1420)   (2740,1490)  (2742,1492)      | overflowToLeft=false
Chikuzen  (1767,2450)  (2532,6124)  (1748,2555)  (1818,2555)  (1678,2555)  (1678,2625)  (1748,2625)  (1818,2625)  (1888,2555)  (1888,2625)  (1818,2695)  (1888,2695)  (1958,2695)  (2028,2695)  (1888,2765)  (1958,2765)  (2028,2765)  (2098,2765)  (1890,2767) | overflowToLeft=false
Sagami  (8236,4180)   (6805,6123)  (8220,4286)  (8290,4286)  (8150,4286)  (8150,4356)  (8220,4356)  (8290,4356)  (8150,4426)  (8220,4426)  (8290,4426)  (8150,4496)  (8220,4496)  (8290,4496)   (8360,4496)  (8430,4496)   (8360,4566)  (8430,4566)   (8360,4636)  (8430,4636)   (8362,4638) | overflowToLeft=false
Kawachi  (5387,3872)  (5373,3978)  (5443,3978)  (5303,3978)   (5303,4048)  (5373,4048)  (5443,4048)  (5303,4118)  (5373,4118)  (5443,4118)  (5303,4188)  (5373,4188)  (5443,4188)  (5303,4258)  (5373,4258)  (5443,4258)  (5305,4260) | overflowToLeft=false
Hida-North Shinano pass  (7754,2823)  (7589,2859)  (7659,2859)  (7589,2789)  (7659,2789)  (7589,2929)  (7659,2929)  | overflowToLeft=false
Iyo-West Tosa pass  (2923,3850)  (2906,3967)  (2906,4037)  (2836,3967)  (2836,4037)  (2976,3967)  (2976,4037)  | overflowToLeft=false
South Shinano-North Mikawa pass  (7420,3536)  (7405,3654)  (7405,3724)  (7335,3654)  (7475,3724)  (7475,3654)  (7335,3724)  | overflowToLeft=false
Chiba Coast  (9375,5282)  (9445,5282)  (9305,5282)  (9305,5352)  (9375,5352)  (9445,5352)  (9305,5422)  (9375,5422)  (9445,5422)  (9305,5492)  (9375,5492)  (9445,5492)  (9305,5562)  (9375,5562)  (9445,5562)  (9307,5564)   | overflowToLeft=false
West Kii-East Kii pass  (4774,5384)  (4833,5421)  (4903,5421)  (4833,5351)  (4903,5351)  (4833,5491)  (4903,5491)  | overflowToLeft=false
Iyo-East Tosa pass  (3312,3844)  (3293,3959)  (3293,4029)  (3223,3959)  (3223,4029)  (3363,3959)  (3363,4029)  | overflowToLeft=false
North Mino-Hida pass  (7316,3013)  (7148,3050)  (7218,3050)  (7148,2980)  (7218,2980)  (7148,3120)  (7218,3120)  | overflowToLeft=false
Kita Bay  (2123,1820)  (2193,1820)  (2053,1820)  (2053,1890)  (2123,1890)  (2193,1890)  (2053,1960)  (2123,1960)  (2193,1960)  (2053,2030)  (2123,2030)  (2193,2030)  (1983,1820)  (1983,1890)  (1983,1960)  (1983,2030)  (1985,2032)  | overflowToLeft=false
Osaka  (5107,3787)  (1836,6125)  (5072,3892)  (5142,3892)  (5002,3892)  (5002,3962)  (5072,3962)  (5142,3962)  (5002,4032)  (5072,4032)  (5142,4032)   (5004,4034)  | overflowToLeft=false
Wakasa-North Omi pass  (5972,2665)  (5955,2783)  (5955,2853)  (5885,2783)  (5885,2853)  (6025,2783)  (6025,2853)   (5815,2783)  (5815,2853)  (5817,2855)    | overflowToLeft=false
Kai-Musashi pass  (8286,3255)  (8350,3293)  (8420,3293)  (8350,3223)  (8420,3223)  (8350,3363)  (8420,3363)  (8352,3365)   | overflowToLeft=false
Awaji  (4469,3862)  (4453,3969)  (4523,3969)  (4383,3969)  (4383,4039)  (4453,4039)  (4523,4039)  (4383,4109)  (4453,4109)  (4523,4109)  (4523,3969)  (4523,4039)  (4523,4109)   (4313,3969)  (4313,4039)  (4313,4109)   (4315,3971)     | overflowToLeft=false
Ezochi  (9746,150)  (9735,258)  (9805,258)  (9665,258)  (9665,328)  (9735,328)  (9805,328)  (9665,398)  (9735,398)  (9805,398)  (9875,258)  (9875,328)  (9875,398)   (9735,258)   (9735,328)  (9735,398)  (9737,400) | overflowToLeft=false
Kyoto  (6026,3126) (4865,6123) (5972,3300)  (5902,3230)  (5972,3230)  (6042,3230)  (6112,3230)  (5902,3300)  (6042,3300)  (6112,3300)  (5902,3370)  (5972,3370)  (6042,3370)  (6112,3370)  (5902,3440)  (5972,3440)  (6042,3440)  (6112,3440)  | overflowToLeft=false
Buzen  (2130,2310)  (3742,6126)  (2115,2420)  (2185,2420)  (2045,2420)  (2045,2490) (2115,2490)  (2185,2490)  (2045,2560) (2115,2560)  (2185,2560)  (2045,2630)   (2115,2630)  (2045,2700)   (2115,2700)  (1975,2420)  (1975,2490)  (2255,2560)  (1977,2492) | overflowToLeft=false
Uchiura Bay  (10705,603)  (10775,603)  (10635,603)  (10635,673)  (10705,673)  (10775,673)   (10635,743)  (10705,743)  (10775,743)  (10635,813)  (10705,813)  (10775,813)  (10705,603)  (10705,673)  (10705,743)  (10705,813)  (10707,815)  | overflowToLeft=false
North Mutsu  (10090,1151)  (10070,1256)  (10140,1256)  (10000,1256)  (10000,1326)  (10070,1326)  (10140,1326)  (10000,1396)  (10070,1396)  (10140,1396)   (10070,1466)  (10140,1466)  (10070,1536)  (10140,1536)  (10072,1538)   | overflowToLeft=false
Sea of Japan 1  (2960,286)  (3030,286)  (2890,286)  (2890,356)  (2960,356)  (3030,356)  (2890,426)  (2960,426)  (3030,426)  (2890,496)  (2960,496)  (3030,496)  (2820,286) (2820,356) (2820,426) (2820,496) (2822,498)| overflowToLeft=false
Kii Coast  (5300,5570)  (5370,5570)  (5230,5570)  (5230,5640) (5300,5640)  (5370,5640)  (5230,5710) (5300,5710)  (5160,5570)  (5160,5640)  (5160,5710)  (5090,5570)  (5090,5640)  (5090,5710)  (5020,5640)  (5020,5710)   (5022,5712)  | overflowToLeft=false
Yamashiro  (5708,3209)   (7504,6123)  (5704,3315)  (5774,3315)  (5634,3315)  (5634,3385)  (5704,3385)  (5774,3385)  (5634,3455)  (5704,3455)  (5774,3455)  (5634,3525)  (5704,3525) (5634,3595) (5634,3665) (5634,3735)   (5636,3527)    | overflowToLeft=false
Kagoshima Bay (462,6125) (900,4862)  (970,4862)  (830,4862)  (830,4932)  (900,4932)  (970,4932)  (830,5002)  (900,5002)  (970,5002)   (830,5072)  (900,5072)  (970,5072)   (830,5142)  (900,5142)  (970,5142)   (830,5212)  (900,5212)  (970,5212)  (972,5214)  | overflowToLeft=false
East Echigo  (8780,1802)  (8770,1912)  (8840,1912)  (8700,1912)  (8700,1982)  (8770,1982)  (8840,1982)  (8630,1912)   (8630,1982)  (8630,2052)  (8700,2052)  (8840,1912)  (8840,1982)  (8630,2122)  (8630,2192)  (8560,2122)  (8560,2192)  (8702,1984) | overflowToLeft=false
South Dewa  (9315,1633)   (9300,1740)   (9370,1740)   (9230,1740)   (9230,1810)   (9300,1810)   (9370,1810)   (9230,1880)   (9300,1880)   (9370,1880)   (9230,1950)   (9300,1950)   (9370,1950)    (9160,1740)   (9160,1810)   (9160,1880)   (9160,1950)   (9162,1952) | overflowToLeft=false
South Ise  (5902,4655)  (4951,6124)  (5890,4763)  (5960,4763)   (5820,4763)   (5820,4833) (5890,4833)  (5960,4833)  (5820,4903) (5890,4903)  (5960,4903)   (5750,4763)  (5750,4833)  (5750,4903)   (6030,4763)  (6030,4833)  (6030,4903)  (5680,4763)  (5680,4833)  (5680,4903)   (5682,4905)   | overflowToLeft=false
Hyuga Coast  (2395,4533)  (2465,4533)  (2320,4533)  (2320,4603)  (2395,4603)  (2465,4603)  (2320,4673)  (2395,4673)  (2465,4673)  (2320,4743)  (2395,4743)  (2465,4743)  (2250,4533)  (2250,4603)  (2250,4673)  (2250,4743)  (2252,4745)    | overflowToLeft=false
Kazusa  (9176,4410)  (9165,4516)  (9235,4516)  (9095,4516)  (9095,4586)  (9165,4586)  (9235,4586)  (9095,4656)  (9165,4656)  (9235,4656)  (9095,4726)  (9165,4726)  (9235,4726)  (9095,4796)  (9165,4796)  (9235,4796)   (8935,4516)  (8935,4586)  (8935,4656) (8935,4726)  (8935,4796)  (8937,4798)  | overflowToLeft=false
Osumi  (1611,4321)  (1600,4434)  (1670,4434)  (1530,4434)  (1530,4504)  (1600,4504)  (1670,4504)  (1460,4434)  (1460,4504)  (1460,4574)  (1530,4574)  (1600,4574)  (1670,4574)  (1460,4644)  (1530,4644)  (1600,4644)  (1460,4714)  (1530,4714)  (1600,4714)  (1462,4716) | overflowToLeft=false
Inaba  (4662,1727)  (6458,6125)   (4655,1835)  (4725,1835)  (4585,1835)  (4585,1905)  (4655,1905)  (4725,1905)  (4585,1975)  (4655,1975)  (4725,1975)   (4585,2045)  (4655,2045)  (4725,2045)  (4515,1835) (4515,1905) (4515,1975) (4515,2045)   (4727,2047)  | overflowToLeft=false
Awa  (3845,4170)  (6545,6123)   (3835,4280)  (3905,4280)  (3765,4280)  (3765,4350)  (3835,4350)  (3905,4350)    (3765,4420)  (3835,4420)  (3905,4420)   (3765,4490)  (3835,4490)  (3905,4490)   (3765,4560)  (3835,4560)  (3905,4560)   (3767,4562)      | overflowToLeft=false
Korea Strait  (300,1813)  (370,1813)  (230,1813)  (230,1883)  (300,1883)  (370,1883)  (230,1953)  (300,1953)  (370,1953)   (230,2023)  (300,2023)  (370,2023)   (230,2093)  (300,2093)  (370,2093)  (232,2095)    | overflowToLeft=false
Mimasake  (4430,2462)  (4420,2570)  (4490,2570)  (4350,2570)  (4350,2640)  (4420,2640)  (4490,2640)  (4350,2710)  (4420,2710)  (4490,2710)  (4280,2570)  (4280,2640)   (4280,2710)  (4282,2712)   | overflowToLeft=false
Wakayama Sea  (3890,4895)  (3960,4895)  (3820,4895)  (3820,4965)  (3890,4965)  (3960,4965)  (3820,5065)  (3890,5056)  (3960,5056)  (3820,5126)  (3890,5126)  (3960,5126)  (3820,5196)  (3890,5196)  (3960,5196)  (3822,5198)| overflowToLeft=false
Bungo Strait  (2510,3984)  (2580,3984)  (2440,3984)  (2440,4054)  (2510,4054)  (2580,4054)  (2440,4124)  (2510,4124)  (2580,4124)  (2440,4194)  (2510,4194)  (2580,4194)  (2370,3984)  (2370,4054)  (2370,4124)  (2370,4194))  (2372,4196)     | overflowToLeft=false
North Dewa-North Mutsu pass  (9777,998)  (9838,1039)  (9908,1039)  (9838,969)  (9908,969)  (9838,1109)  (9908,1109)  | overflowToLeft=false
Tosa Bay  (3275,4664)  (3345,4664)  (3205,4664)  (3205,4734)  (3275,4734)  (3345,4734) (3205,4804)  (3275,4804)  (3345,4804) (3415,4664)  (3415,4734)  (3415,4804)   (3135,4664)   (3135,4734)   (3135,4804)   (3137,4806) | overflowToLeft=false
North Mino (6924,2937)  (7589,6128)   (6912,3045)  (6982,3045)  (6842,3045)  (6842,3115)  (6912,3115)  (6982,3115)  (6842,3185)  (6912,3185)  (6982,3185)  (6842,3255)  (6912,3255)  (6982,3255)   (6842,3325)  (6912,3325)  (6982,3325)   (7052,3255)   (7052,3325)  (6844,3327) | overflowToLeft=false
Sado Bay  (7755,1083)  (7825,1083)  (7685,1083)  (7685,1153)  (7755,1153)  (7825,1153)  (7685,1223)  (7755,1223)  (7825,1223)   (7685,1293)  (7755,1293)  (7825,1293)   (7685,1363)  (7755,1363)  (7825,1363)  (7687,1365) | overflowToLeft=false
Iga  (6118,3645)  (6115,3755)  (6185,3755)  (6045,3755)  (6045,3825)  (6115,3825)  (6185,3825)   (6045,3895)  (6115,3895)  (6045,3965)  (6045,4035)  (6115,4035)  (6185,4035)  (6045,4105)  (6115,4105)  (6185,4105)  (6045,4175)  (6115,4175)  (6185,4175)  (6047,4177)   | overflowToLeft=false
Saigo Bay  (5528,965)  (5598,965)  (5458,965)  (5458,1035) (5528,1035)  (5598,1035)  (5458,1105) (5528,1105)  (5598,1105)   (5458,1175) (5528,1175)  (5598,1175)  (5458,1245) (5528,1245)  (5598,1245)  (5458,1315) (5528,1315)  (5598,1315)  (5600,1317)  | overflowToLeft=false
Tango  (5469,2250)  (5458,2359)  (5528,2359)  (5388,2359)  (5388,2429)  (5458,2429)  (5528,2429)  (5388,2479)  (5458,2479)  (5598,2359)  (5598,2429)   (5598,2499)   (5598,2569)  (5318,2359)  (5318,2429)  (5318,2479)   (5320,2481) | overflowToLeft=false
Hoki  (4314,1712)  (4293,1822)  (4363,1822)  (4223,1822)  (4223,1892)  (4293,1892)  (4363,1892)   (4223,1962)  (4293,1962)  (4363,1962)   (4223,2032)  (4293,2032)  (4363,2032)  (4153,1822)  (4153,1872)  (4153,1942)  (4155,1944)  | overflowToLeft=false
Tsushima Strait  (548,6127)  (2160,1233)  (2230,1233)  (2090,1233)  (2090,1303)  (2160,1303)  (2230,1303)  (2090,1373)  (2160,1373)  (2230,1373)  (2090,1443)  (2160,1443)  (2230,1443)  (2020,1233)  (2020,1303)  (2020,1373)  (2020,1443)  (2022,1445)     | overflowToLeft=false
Hitachi  (9245,3248)  (9234,3354) (9304,3354) (9164,3354) (9164,3424)  (9234,3424) (9304,3424) (9164,3494)  (9234,3494) (9304,3494)  (9164,3564)  (9234,3564) (9304,3564)  (9164,3634)  (9234,3634) (9304,3634)  (9166,3636) | overflowToLeft=false
